time,seconds_elapsed,z,y,x
1779037597310783500,0.137783447265625,-2.2125539779663086,-2.607325553894043,1.5471689701080322
1779037597327123200,0.154123291015625,-1.9104810953140259,-1.8944458961486816,1.7886134386062622
1779037597343453200,0.170453125,-1.5496124029159546,-2.2647829055786133,1.8070920705795288
1779037597359788000,0.1867880859375,-0.9502009153366089,-1.8916969299316406,1.5977180004119873
1779037597376115200,0.203115234375,-0.22968533635139465,-1.1552989482879639,1.1766791343688965
1779037597392439800,0.219439697265625,0.11499538272619247,-0.7429648637771606,0.6185010671615601
1779037597408777500,0.235777587890625,0.001527163083665073,-0.7573201656341553,0.07284568250179291
1779037597425106400,0.2521064453125,-0.2021963894367218,-0.9311113357543945,-0.4161519408226013
1779037597441420800,0.2684208984375,-0.12217304855585098,-0.5429064631462097,-0.6933320760726929
1779037597457761800,0.28476171875,0.05253441259264946,0.15286903083324432,-0.749531626701355
1779037597474101200,0.301101318359375,0.11575896292924881,0.3387247920036316,-0.7875580191612244
1779037597490410800,0.31741064453125,0.15714508295059204,-0.001527163083665073,-0.7606799602508545
1779037597506745600,0.33374560546875,0.26221391558647156,-0.3882048726081848,-0.6302602291107178
1779037597523075800,0.350075927734375,0.36590829491615295,-0.8184067010879517,-0.5826127529144287
1779037597539405600,0.366405517578125,0.5343543887138367,-0.9541715383529663,-0.6041457056999207
1779037597555737600,0.382737548828125,0.6824892163276672,-0.6046038866043091,-0.5360342264175415
1779037597572068400,0.399068359375,0.8035932183265686,-0.154396191239357,-0.4917465150356293
1779037597588398800,0.41539892578125,0.9208793640136719,-0.44944411516189575,-0.5818491578102112
1779037597604751000,0.431751220703125,1.6685783863067627,-0.841008722782135,-0.7287622094154358
1779037597621067000,0.44806689453125,2.626567840576172,-0.9385944604873657,-0.9169087409973145
1779037597637409500,0.464409423828125,2.1314616203308105,-1.2495248317718506,-1.3089314699172974
1779037597653730800,0.480730712890625,1.7634152173995972,-0.9783006906509399,-1.4167492389678955
1779037597670063400,0.4970634765625,1.788308024406433,-0.9130908250808716,-1.1995866298675537
1779037597686363000,0.51336279296875,1.4654656648635864,-1.543503761291504,-0.8032878041267395
1779037597702727400,0.5297275390625,1.3536773920059204,-2.0505218505859375,-0.40256020426750183
1779037597719053800,0.5460537109375,1.4610369205474854,-2.8229610919952393,-0.14034628868103027
1779037597735388200,0.56238818359375,1.788002610206604,-3.596163749694824,0.31261029839515686
1779037597751719700,0.5787197265625,1.8159496784210205,-3.9649736881256104,0.7353290319442749
1779037597768020000,0.59502001953125,2.0004310607910156,-4.4176249504089355,0.7802276611328125
1779037597784381200,0.611381103515625,2.1426098346710205,-4.550029754638672,0.30482175946235657
1779037597800720400,0.627720458984375,2.535396099090576,-5.2862749099731445,0.13576480746269226
1779037597817025300,0.644025390625,3.1534390449523926,-6.545879364013672,0.29733866453170776
1779037597833359600,0.660359619140625,3.9709296226501465,-7.120703220367432,-0.1635591685771942
1779037597849688600,0.6766884765625,4.535827159881592,-6.833596706390381,-0.9396634697914124
1779037597866020400,0.693020263671875,5.047884941101074,-6.791599750518799,-0.7359399199485779
1779037597882351400,0.709351318359375,5.5008416175842285,-7.159340858459473,0.5668829679489136
1779037597898677800,0.725677734375,5.731442928314209,-7.5947346687316895,2.437047004699707
1779037597915032000,0.742031982421875,5.771454811096191,-7.157966136932373,3.919769525527954
1779037597931356200,0.758356201171875,5.662568092346191,-5.664706230163574,4.086230278015137
1779037597947692300,0.7746923828125,4.798957347869873,-3.3826663494110107,2.7285823822021484
1779037597964013000,0.791012939453125,3.0949487686157227,-0.9430232048034668,0.911410927772522
1779037597980358000,0.80735791015625,1.4613423347473145,0.7423539757728577,-0.3136793076992035
1779037597996666000,0.823666015625,0.3966042697429657,0.9868528246879578,-0.4619668424129486
1779037598012996400,0.839996337890625,-0.06505715101957321,0.16172657907009125,0.09239336848258972
1779037598029333800,0.856333740234375,-0.17287486791610718,-0.8323038816452026,0.6255260109901428
1779037598045657000,0.872656982421875,-0.4482223689556122,-1.506240963935852,0.9205739498138428
1779037598061973000,0.888972900390625,-1.1530081033706665,-3.140916347503662,1.0325149297714233
1779037598078321400,0.9053212890625,-1.8452712297439575,-5.532606601715088,-0.128434419631958
1779037598094667800,0.921667724609375,-1.4895949363708496,-2.8354837894439697,-2.1537580490112305
1779037598110993000,0.937992919921875,-0.8626944422721863,-0.03741549700498581,-2.950937271118164
1779037598127323000,0.954322998046875,-0.6779077053070068,0.8494081497192383,-2.475836753845215
1779037598143656200,0.97065625,-0.6759223937988281,0.8973610401153564,-1.4914275407791138
1779037598159986400,0.986986328125,-0.5894849896430969,0.7564038634300232,-0.9285151958465576
1779037598176315000,1.00331494140625,-0.5555819272994995,0.48288896679878235,-0.2796235680580139
1779037598192645000,1.01964501953125,-0.5448917746543884,0.8904888033866882,-0.055283304303884506
