time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1779037597351617000,0.178616943359375,-0.7537887692451477,-0.12334708124399185,0.2318318635225296,0.6023637056350708,0.2289603352546692,-0.48391643166542053,1.849929690361023
1779037597367948800,0.19494873046875,-0.7589805722236633,-0.13942831754684448,0.2295297086238861,0.5931477546691895,0.21068957448005676,-0.5051478147506714,1.8694332838058472
1779037597384279000,0.211279052734375,-0.760023295879364,-0.1504286825656891,0.22841233015060425,0.5895451903343201,0.19711147248744965,-0.5212647914886475,1.8748340606689453
1779037597400610000,0.227610107421875,-0.7602325677871704,-0.15693847835063934,0.2259858101606369,0.5885127782821655,0.18508630990982056,-0.5289307832717896,1.8743261098861694
1779037597416939000,0.24393896484375,-0.7621190547943115,-0.16025696694850922,0.22071225941181183,0.5871783494949341,0.17239956557750702,-0.5276041030883789,1.8753360509872437
1779037597433271000,0.26027099609375,-0.7653822898864746,-0.16088612377643585,0.2129049152135849,0.5856425166130066,0.1589416265487671,-0.5185843706130981,1.8775663375854492
1779037597449602000,0.27660205078125,-0.7672380208969116,-0.1578611433506012,0.2074229121208191,0.5860047340393066,0.15302300453186035,-0.5067471265792847,1.876758337020874
1779037597465932800,0.292932861328125,-0.7673576474189758,-0.15194125473499298,0.20534880459308624,0.5881394147872925,0.1556350737810135,-0.49466177821159363,1.8730756044387817
1779037597482262500,0.309262451171875,-0.7672765254974365,-0.1458921730518341,0.2030818611383438,0.5905591249465942,0.15791134536266327,-0.4822152554988861,1.8685393333435059
1779037597498576000,0.325575927734375,-0.7674214839935303,-0.14218218624591827,0.19863015413284302,0.5927853584289551,0.15355083346366882,-0.4709324240684509,1.8630856275558472
1779037597514911000,0.341910888671875,-0.7675272822380066,-0.14135053753852844,0.19215509295463562,0.5949775576591492,0.14208368957042694,-0.46188539266586304,1.8562008142471313
1779037597531240700,0.35824072265625,-0.7675929665565491,-0.14264443516731262,0.18315379321575165,0.5974180698394775,0.12348484992980957,-0.45317748188972473,1.8473584651947021
1779037597547573800,0.37457373046875,-0.7667669653892517,-0.14422304928302765,0.17388226091861725,0.6008602976799011,0.1035766527056694,-0.4446354806423187,1.8356701135635376
1779037597563902500,0.39090234375,-0.7644559144973755,-0.14418990910053253,0.16769547760486603,0.605553150177002,0.09038105607032776,-0.4373614192008972,1.8218364715576172
1779037597580233000,0.40723291015625,-0.7611265182495117,-0.1430024653673172,0.16316334903240204,0.6112400889396667,0.08102521300315857,-0.4303070604801178,1.8060851097106934
1779037597596581000,0.4235810546875,-0.7574008107185364,-0.14344045519828796,0.15520347654819489,0.617803156375885,0.06345727294683456,-0.42141735553741455,1.7867010831832886
1779037597612909300,0.439909423828125,-0.7491388916969299,-0.14553891122341156,0.14359082281589508,0.630072295665741,0.034620460122823715,-0.4104291796684265,1.7502350807189941
1779037597629237800,0.45623779296875,-0.7379264235496521,-0.14764449000358582,0.12901441752910614,0.6457716226577759,-0.0003065260825678706,-0.39469778537750244,1.7037392854690552
1779037597645566200,0.472566162109375,-0.7303863763809204,-0.14781498908996582,0.11194958537817001,0.6573840975761414,-0.033072516322135925,-0.3716055452823639,1.6696903705596924
1779037597661911300,0.488911376953125,-0.723199725151062,-0.14603444933891296,0.09703262150287628,0.6680125594139099,-0.058278899639844894,-0.3478338122367859,1.6398495435714722
1779037597678226200,0.50522607421875,-0.7158287763595581,-0.14668522775173187,0.08270056545734406,0.677667498588562,-0.08503745496273041,-0.3279363214969635,1.6114752292633057
1779037597694565000,0.521565185546875,-0.7099866271018982,-0.15323255956172943,0.06744494289159775,0.6840248703956604,-0.1200416088104248,-0.31503963470458984,1.5889503955841064
1779037597710891500,0.5378916015625,-0.7037623524665833,-0.16472485661506653,0.050798945128917694,0.6892051696777344,-0.1639028638601303,-0.3066599369049072,1.566311001777649
1779037597735388200,0.56238818359375,-0.690990149974823,-0.19409634172916412,0.020137615501880646,0.6960271000862122,-0.256560742855072,-0.3007849156856537,1.5244452953338623
1779037597751719700,0.5787197265625,-0.6797921657562256,-0.21989314258098602,-0.0013697681715711951,0.6996626257896423,-0.33016344904899597,-0.30159810185432434,1.4913700819015503
1779037597768020000,0.59502001953125,-0.6666444540023804,-0.24901723861694336,-0.02419053390622139,0.7021328806877136,-0.41165196895599365,-0.30264073610305786,1.4553024768829346
