time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1779958741272194300,0.1891943359375,0.4856557846069336,-0.14352208375930786,0.24223056435585022,0.8275652527809143,-0.511949360370636,-0.2645951509475708,-1.1310144662857056
1779958741288538000,0.2055380859375,0.487199991941452,-0.16853991150856018,0.2562430799007416,0.8176612854003906,-0.5742825269699097,-0.25765618681907654,-1.1511914730072021
1779958741304865000,0.221864990234375,0.4915388822555542,-0.19452157616615295,0.27361100912094116,0.803547203540802,-0.6440361738204956,-0.2511199116706848,-1.1821472644805908
1779958741321205800,0.238205810546875,0.5008454918861389,-0.2185552716255188,0.2948016822338104,0.7838874459266663,-0.7177639007568359,-0.245723158121109,-1.229678750038147
1779958741337525800,0.25452587890625,0.5119511485099792,-0.2515681982040405,0.32104331254959106,0.7560096383094788,-0.8157610297203064,-0.22986124455928802,-1.2901684045791626
1779958741353871000,0.27087109375,0.5268464684486389,-0.2836887538433075,0.3482268154621124,0.7215896248817444,-0.9156394004821777,-0.20506711304187775,-1.362623929977417
1779958741370205000,0.287204833984375,0.5433827042579651,-0.3149394690990448,0.37668976187705994,0.6809208393096924,-1.017432689666748,-0.17156697809696198,-1.4428950548171997
1779958741386531000,0.303531005859375,0.5597240328788757,-0.3460438549518585,0.4066595435142517,0.6337119340896606,-1.1226123571395874,-0.1283842772245407,-1.5277549028396606
1779958741402874000,0.3198740234375,0.5767655372619629,-0.3757127523422241,0.4360690712928772,0.5796769261360168,-1.2257405519485474,-0.07222481071949005,-1.6165610551834106
1779958741419201300,0.336201171875,0.5941477417945862,-0.4035870432853699,0.4632696807384491,0.5191216468811035,-1.3232791423797607,-0.0014059548266232014,-1.7064729928970337
1779958741435523000,0.352523193359375,0.6109963059425354,-0.4286789000034332,0.48446834087371826,0.45629873871803284,-1.4064608812332153,0.08180910348892212,-1.7893081903457642
1779958741451869200,0.368869140625,0.6295203566551208,-0.4510210156440735,0.49221134185791016,0.3975074887275696,-1.4602218866348267,0.17746850848197937,-1.8562136888504028
1779958741468200700,0.38520068359375,0.6496721506118774,-0.4717555046081543,0.4834597110748291,0.3487687408924103,-1.479717493057251,0.2793610990047455,-1.9009435176849365
1779958741484533500,0.401533447265625,0.6689695715904236,-0.48954659700393677,0.46396899223327637,0.31234070658683777,-1.4738035202026367,0.3737947642803192,-1.9280728101730347
1779958741500876800,0.417876708984375,0.6856218576431274,-0.5045861005783081,0.44091638922691345,0.2844439148902893,-1.4569295644760132,0.45680007338523865,-1.9460971355438232
1779958741517203500,0.434203369140625,0.6984683275222778,-0.5177133679389954,0.4200061559677124,0.26021111011505127,-1.441710114479065,0.5289559364318848,-1.9611676931381226
1779958741533533200,0.450533203125,0.7075604200363159,-0.5274068713188171,0.4057919681072235,0.23776696622371674,-1.4330754280090332,0.5864127278327942,-1.9789690971374512
1779958741549866800,0.46686669921875,0.7155089378356934,-0.5323205590248108,0.3977241516113281,0.21563227474689484,-1.4254684448242188,0.6313510537147522,-2.005932331085205
1779958741566198800,0.48319873046875,0.7238196730613708,-0.5338466167449951,0.39133909344673157,0.1947992444038391,-1.4123897552490234,0.6691917777061462,-2.0392425060272217
1779958741582528800,0.49952880859375,0.7319210767745972,-0.5339312553405762,0.3852553367614746,0.1754632145166397,-1.3956013917922974,0.7028499245643616,-2.074469566345215
1779958741598854000,0.51585400390625,0.7386247515678406,-0.5298284292221069,0.3854195773601532,0.1586412787437439,-1.3812700510025024,0.7213538289070129,-2.1141510009765625
1779958741615197000,0.532197021484375,0.7443431615829468,-0.5196906924247742,0.39368465542793274,0.14452454447746277,-1.3699944019317627,0.7206353545188904,-2.1608386039733887
1779958741631529200,0.548529296875,0.7492629289627075,-0.5065372586250305,0.40613433718681335,0.1306900680065155,-1.3620734214782715,0.7114117741584778,-2.2113559246063232
1779958741647878700,0.564878662109375,0.7516002058982849,-0.4950008690357208,0.4209584593772888,0.1134258434176445,-1.364999771118164,0.7057309150695801,-2.2603282928466797
1779958741664209400,0.58120947265625,0.7514906525611877,-0.4865376055240631,0.4346301853656769,0.09818200767040253,-1.3746857643127441,0.7022162079811096,-2.2976126670837402
1779958741680540700,0.597540771484375,0.7520803809165955,-0.47918814420700073,0.4436390995979309,0.08909746259450912,-1.3777639865875244,0.6967411637306213,-2.324556827545166
1779958741696838400,0.61383837890625,0.7574994564056396,-0.4738759696483612,0.44207635521888733,0.07876861840486526,-1.3590528964996338,0.7053207159042358,-2.3563437461853027
1779958741713194500,0.630194580078125,0.769629180431366,-0.4724521338939667,0.4237338900566101,0.07006838172674179,-1.3064393997192383,0.7313099503517151,-2.389943838119507
1779958741729519000,0.64651904296875,0.7849981188774109,-0.47051700949668884,0.39678245782852173,0.07039573043584824,-1.2326515913009644,0.7516517043113708,-2.417607069015503
1779958741745863200,0.66286328125,0.7968639731407166,-0.4681242108345032,0.3744232952594757,0.07533067464828491,-1.171785831451416,0.7610076665878296,-2.434157371520996
1779958741762193200,0.679193115234375,0.8056131601333618,-0.46979573369026184,0.350961297750473,0.08429458737373352,-1.1197654008865356,0.7722921967506409,-2.4340553283691406
1779958741778523600,0.695523681640625,0.8069207072257996,-0.478977769613266,0.3317283093929291,0.09703416377305984,-1.0983797311782837,0.7875350713729858,-2.404266595840454
1779958741794862600,0.711862548828125,0.806000292301178,-0.48593491315841675,0.3206048607826233,0.10697400569915771,-1.0920966863632202,0.7962445020675659,-2.3772451877593994
1779958741811208000,0.7282080078125,0.8042068481445312,-0.49201351404190063,0.31305256485939026,0.11477013677358627,-1.0921903848648071,0.8030865788459778,-2.3529882431030273
