time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1779989216607137500,0.192137451171875,0.3001420199871063,-0.03291894868016243,0.1528746783733368,0.940989077091217,-0.16024014353752136,-0.27126049995422363,-0.6394401788711548
1779989216623458600,0.20845849609375,0.3017069399356842,-0.04494404420256615,0.15235337615013123,0.9400752186775208,-0.1837151050567627,-0.2623257339000702,-0.6454122066497803
1779989216639789800,0.224789794921875,0.30376288294792175,-0.061711858958005905,0.1548433154821396,0.9380529522895813,-0.21864460408687592,-0.25579118728637695,-0.6545613408088684
1779989216656131300,0.24113134765625,0.3029870092868805,-0.08281436562538147,0.15839023888111115,0.9360840320587158,-0.2619919776916504,-0.24891215562820435,-0.6590278148651123
1779989216672443000,0.25744287109375,0.2959498167037964,-0.10148166865110397,0.15974757075309753,0.936267077922821,-0.29744753241539,-0.24140366911888123,-0.6486565470695496
1779989216688774700,0.273774658203125,0.2858375608921051,-0.10928651690483093,0.15695573389530182,0.9389985203742981,-0.3081144690513611,-0.2344273328781128,-0.6275569200515747
1779989216705125400,0.29012548828125,0.2746174931526184,-0.10977054387331009,0.1498204916715622,0.94344562292099,-0.30138853192329407,-0.2242807000875473,-0.600701630115509
1779989216721445000,0.306445068359375,0.26445141434669495,-0.10992122441530228,0.13830547034740448,0.9480794072151184,-0.2917551100254059,-0.2055560052394867,-0.5743446350097656
1779989216737790500,0.32279052734375,0.26137813925743103,-0.10920285433530807,0.12171123176813126,0.9512847065925598,-0.2792336046695709,-0.17537517845630646,-0.5610001087188721
1779989216754120700,0.33912060546875,0.2639746069908142,-0.10594063252210617,0.09909946471452713,0.9535583257675171,-0.25954705476760864,-0.13345879316329956,-0.557578444480896
1779989216770456300,0.355456298828125,0.2677741050720215,-0.097569040954113,0.07191454619169235,0.9558272361755371,-0.2278192788362503,-0.08532633632421494,-0.5560614466667175
1779989216786791700,0.371791748046875,0.268862247467041,-0.08554837107658386,0.04061300680041313,0.958512008190155,-0.18701954185962677,-0.031860046088695526,-0.5499321222305298
1779989216803123500,0.38812353515625,0.267147958278656,-0.07319559901952744,0.006108730100095272,0.9608522653579712,-0.14448025822639465,0.02737235277891159,-0.5403853058815002
