time,seconds_elapsed,z,y,x
1778948658720403200,0.1434033203125,0.19257527589797974,-0.48838675022125244,0.31123584508895874
1778948658736736500,0.159736572265625,0.1944078654050827,-0.6163630485534668,0.1992947906255722
1778948658753084000,0.176083984375,0.2018909603357315,-0.6953173875808716,0.03329215571284294
1778948658769410600,0.19241064453125,0.19853121042251587,-0.6982190012931824,-0.08888089656829834
1778948658785741600,0.208741455078125,0.2816088795661926,-0.6901249885559082,0.04657847434282303
1778948658802070300,0.2250703125,0.3608686327934265,-0.5120577812194824,0.31383201479911804
1778948658818402000,0.241402099609375,0.3859141170978546,-0.3220787048339844,0.4834998548030853
1778948658834729500,0.2577294921875,0.45142942667007446,-0.19608774781227112,0.5595525503158569
1778948658851083800,0.274083740234375,0.3962988257408142,-0.6244570016860962,0.4063780903816223
1778948658867406800,0.29040673828125,0.5264131426811218,-0.49037206172943115,0.194713294506073
1778948658883727000,0.30672705078125,0.6316346526145935,-0.23686300218105316,0.00855211354792118
1778948658900054300,0.32305419921875,0.6516404747962952,-0.08796459436416626,-0.2002110779285431
1778948658916372500,0.33937255859375,0.6835582256317139,-0.037110064178705215,-0.3494149148464203
1778948658932715800,0.3557158203125,0.7160868048667908,-0.12980885803699493,-0.32070425152778625
1778948658949033200,0.372033203125,0.6792821288108826,-0.27382034063339233,-0.10873401165008545
1778948658965376800,0.388376708984375,0.5609270334243774,-0.4054618179798126,0.26145032048225403
1778948658981702400,0.404702392578125,0.4697553813457489,-0.4528038501739502,0.7298312783241272
1778948658998037800,0.421037841796875,0.3269656300544739,-0.18570303916931152,1.0514518022537231
1778948659014368800,0.43736865234375,0.05390885844826698,0.11133018881082535,1.0569496154785156
1778948659030699000,0.453698974609375,-0.12538009881973267,0.1592831164598465,0.846659243106842
1778948659047046100,0.470046142578125,-0.17898350954055786,-0.10155634582042694,0.5427537560462952
1778948659063373600,0.48637353515625,-0.17516560852527618,-0.3393356502056122,0.28496864438056946
1778948659079687200,0.502687255859375,-0.1293507218360901,-0.35246923565864563,0.17333301901817322
1778948659096006100,0.519006103515625,-0.0835358202457428,-0.0734565481543541,0.15393804013729095
1778948659112352000,0.53535205078125,-0.07971791177988052,0.11972958594560623,0.17989981174468994
