time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1778968360060636200,0.06163623046875,2.235915587963249,-0.04729296978741129,-0.8891880029615054,0.05054841390857243,-0.4281636892185812,-0.1542206299412183,0.3202043525684344
1778968360070628000,0.071628173828125,2.2393587917273563,-0.04998865092898083,-0.8898871077141409,0.042780407135614595,-0.42732902659851085,-0.15163103868345737,0.31792078334776924
1778968360080619000,0.081618896484375,2.243451991728311,-0.05100597860166702,-0.8908085452164312,0.038698808716725076,-0.4259130083302357,-0.14985553232528465,0.3156489203426063
1778968360090610000,0.09160986328125,2.247576212369389,-0.05045822631714609,-0.8918206180065406,0.038150286549302116,-0.42421143155469065,-0.14884393565727083,0.3133992569074748
1778968360100602000,0.10160205078125,2.251201396130098,-0.049063136643525726,-0.8927549998177263,0.0397472362884549,-0.4225568060980303,-0.14841495126186502,0.3114721720314619
1778968360110593000,0.111593017578125,2.2542447514387054,-0.047622506067248396,-0.8935250243233475,0.04191412065024126,-0.4210859303107367,-0.14843086298769956,0.3103161647167497
1778968360120585200,0.121585205078125,2.25700883004092,-0.04682845920334231,-0.8941451668576268,0.04316073096947856,-0.41976430532070086,-0.1486921594828595,0.3101679565448821
1778968360130576100,0.131576171875,2.2597791382133625,-0.047162879212548414,-0.8946533063440614,0.04233874076409933,-0.4185520494600708,-0.14894768407201933,0.3109816163888017
1778968360140568000,0.141568115234375,2.2627014271903945,-0.04878490062248686,-0.8950878202497377,0.0389007185374801,-0.41744060567399605,-0.14893379726533956,0.3124040947857314
1778968360150559200,0.151559326171875,2.2659216177837607,-0.0513285821956806,-0.8955202098698217,0.033396819521564716,-0.4163460239142956,-0.14854281123689186,0.3139175298399112
1778968360160551200,0.16155126953125,2.2694389094268033,-0.05408504009125996,-0.8960193849508069,0.027122241926841054,-0.4151962688164034,-0.14777093546065795,0.3149017553756327
1778968360170542000,0.1715419921875,2.273169386689879,-0.056381828565809824,-0.8966398884821858,0.02133702338665745,-0.41395407758075015,-0.14662899824112507,0.31479946067485004
1778968360180534000,0.181533935546875,2.2770972514323526,-0.057582766552198725,-0.8974403323021131,0.01732684565293159,-0.41254046997410143,-0.14524242128932405,0.31330376983846037
1778968360190525000,0.19152490234375,2.2812900755174237,-0.057268606241773705,-0.8984662654336196,0.016006990653337307,-0.41085897676629346,-0.14378324399320264,0.3103872770024882
1778968360200516000,0.20151611328125,2.285710125772369,-0.055415128839207045,-0.8996912939416777,0.017575185460153554,-0.40890404467826263,-0.14241612057232447,0.30634940601155786
1778968360210508000,0.211508056640625,2.290351903621701,-0.05239501178220406,-0.9010523013330937,0.021437703890158467,-0.4067061719557928,-0.14124334150282075,0.30171065557750026
1778968360220499000,0.2214990234375,2.294885938819225,-0.04894050311485187,-0.9023946377176092,0.026322130325881894,-0.4044829043772576,-0.14029391598306004,0.2971456571628564
1778968360230491100,0.2314912109375,2.2990195974268857,-0.045783726616361056,-0.9035813462993089,0.030966198720291122,-0.4024300858433085,-0.13962319214344207,0.2933610630159645
1778968360240482000,0.24148193359375,2.3030067134040313,-0.04335474824304571,-0.9046221191751151,0.0345883767346284,-0.4004689895315883,-0.13929742824813224,0.2908300678300013
