time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1779111801080630300,0.05963037109375,0.5072151224507645,0.005346643600712501,0.2509394146853115,0.01544247672262656,0.9679427430846348,0.009361856189681791,0.015049575260789342
1779111801090621200,0.06962109375,0.5072243290506765,0.006020388946009373,0.25093993490593874,0.013317497468269273,0.9679471762500808,0.008438959718685534,0.015890849747479282
1779111801100612400,0.0796123046875,0.507269352177133,0.006835053004017751,0.25095577239103395,0.010849479825865352,0.9679463388514966,0.007375565549729908,0.016934619971496166
1779111801110602500,0.0896025390625,0.5073582282203752,0.007610619898190133,0.25099261648597593,0.00876600215204748,0.9679372824025466,0.006500880414283009,0.017997523035644006
1779111801120593400,0.099593505859375,0.5074367230034889,0.008242160887461861,0.2510250912467718,0.007196517053317333,0.9679277647270985,0.005854335930622099,0.01889592761522489
1779111801130583300,0.109583251953125,0.5074658310549393,0.008715766288673014,0.25103401616074467,0.005920950853460979,0.9679244010931599,0.005318438675585612,0.019543867918841173
1779111801140574200,0.11957421875,0.50746810937782,0.009105184350141677,0.251028818227603,0.004506534283441204,0.967925458315932,0.00468886661762388,0.019981690410244026
1779111801150564000,0.129564208984375,0.5073222961463847,0.009478705299236724,0.2509496661706351,0.0026837714839461004,0.9679461101702103,0.003843484759196833,0.020280184412524063
1779111801160555300,0.13955517578125,0.5070709081895383,0.009817567633425166,0.25081958639695545,0.0009857349262422548,0.9679792852831837,0.0030529596279468135,0.020539332448684496
1779111801170546200,0.149546142578125,0.506824523315723,0.010009602796662761,0.2506972729640509,0.0004232930084711515,0.9680097101962224,0.0028109024709594313,0.020789654122224766
1779111801180536300,0.159536376953125,0.5066253867750581,0.0099853142978971,0.25060479846634653,0.0012378682792162541,0.9680325461034089,0.00322423647165645,0.020949769126182273
1779111801190527200,0.16952734375,0.5064717414183787,0.009737871753910903,0.2505383425576756,0.002827653512065779,0.9680494982957487,0.003980403733140791,0.02084948175491895
1779111801200517000,0.17951708984375,0.5063716879729802,0.009368937170973814,0.2504979196944446,0.004474967125942376,0.9680602090820737,0.004735144145297455,0.020513116650719653
1779111801210508300,0.18950830078125,0.5063247547462665,0.00902356729936923,0.2504808254360562,0.005693942051863129,0.968065115193841,0.005275069024417606,0.02011476511206074
1779111801220498400,0.19949853515625,0.5062908646157018,0.008831024915797228,0.2504667701157342,0.006233393883223947,0.9680693003249254,0.005503676905927428,0.019856369366839915
1779111801230489300,0.2094892578125,0.5062192130160994,0.008834699291265522,0.2504315862369446,0.006118983396863335,0.9680786571611976,0.005445175934649553,0.019833956119851993
1779111801240479200,0.219479248046875,0.5061000101111066,0.00898600434758141,0.2503715997669151,0.005599650101934425,0.9680940628067642,0.00521549538056438,0.020011554377316946
1779111801250470400,0.229470458984375,0.5059855971427928,0.009190176294557926,0.2503133424496069,0.004968104721857704,0.9681086981438575,0.004941548020940672,0.020269437942105985
1779111801260461300,0.23946142578125,0.5059232616617876,0.009353205245181977,0.25028077890947154,0.004455531201273318,0.9681166020983947,0.0047186659505545426,0.020473399582453863
1779111801270451200,0.249451171875,0.5058932914810589,0.009420317479726718,0.2502653078884202,0.004254782919619449,0.9681203761149496,0.004632186435292511,0.02056000220049366
1779111801280442000,0.259442138671875,0.5058357601600925,0.009389442398692799,0.25023817484267336,0.0044055740594318455,0.9681273512726691,0.004701770284309601,0.020534920001507386
1779111801290432300,0.269432373046875,0.5057529539748066,0.009294970069806287,0.2501998016158225,0.004770372906387392,0.9681374239542357,0.0048653001418555285,0.02043363294301708
1779111801300423400,0.27942333984375,0.5056410622972339,0.009194113899302858,0.2501473681672792,0.005142610503303354,0.9681510842628771,0.005030874329679282,0.02032090114716244
1779111801310413300,0.289413330078125,0.5055082181449742,0.009136116162907156,0.25008406255878146,0.005362322711267257,0.9681674989478318,0.005128653325899331,0.020257155789661484
1779111801320404200,0.299404296875,0.5054052485087585,0.009140870799891846,0.25003419398832194,0.005358276986379702,0.968180360778159,0.005127253160915135,0.02026538749042727
1779111801330395100,0.30939501953125,0.5053024058707415,0.009208210411972704,0.24998348680458587,0.005156154119435421,0.9681932516411078,0.00503972970564261,0.020351757670225703
1779111801340385300,0.31938525390625,0.5052017540768594,0.009309656648319677,0.24993341930308013,0.004869501109701438,0.9682058672215516,0.0049173677723617255,0.02048679051031403
1779111801350376400,0.32937646484375,0.505132744759408,0.009410043381877509,0.24989877517115983,0.004604539223342266,0.9682142907251311,0.004806095255754529,0.020625413930103826
1779111801360366300,0.339366455078125,0.5050985907426709,0.009478776181407219,0.24988147512063918,0.004444149115829712,0.9682183536687624,0.004740832026300856,0.02072582613703357
1779111801370357200,0.349357177734375,0.5051116346677337,0.009514288705684095,0.24988769052988175,0.004428455492016823,0.9682164395130151,0.004741961829327454,0.020795195997754277
1779111801380347100,0.35934716796875,0.505185741626724,0.00951891451755576,0.24992417043685172,0.004561044864427029,0.9682067138319993,0.004812015969445761,0.020839340399301985
1779111801390338300,0.36933837890625,0.5053097733986283,0.009498723960920623,0.24998538114994612,0.004805627332727103,0.9681904595829403,0.004933764500186379,0.02086139893932138
1779111801400328400,0.379328369140625,0.5054623601285786,0.009463533119152332,0.2500607485330452,0.005120777364331042,0.968170501144641,0.0050882339838555805,0.020870877572773665
1779111801410319400,0.3893193359375,0.5056323371698027,0.009430937627826645,0.25014451758974954,0.005435640006248826,0.9681483530702822,0.005243319572716542,0.020885787174423277
1779111801420310300,0.399310302734375,0.5058157292515516,0.009408235582500937,0.25023445837763253,0.005682640288175589,0.9681246472469417,0.005365991712119204,0.020903723903568344
