time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1780506457582798000,0.079798095703125,-2.4236959432872216,0.06935016403116374,-0.9253124684476678,0.040653527759879474,0.3503022759989147,-0.12757627771802857,0.2886756052171825
1780506457592790800,0.089790771484375,-2.4188682555174337,0.07527124369546552,-0.9243331092149961,0.05482354507364188,0.3534960303471464,-0.12240478026252587,0.2832751421461889
1780506457602783000,0.099782958984375,-2.412011827848847,0.08302764360915489,-0.9228355881205723,0.07309625738382723,0.3578140769357065,-0.11597419234744112,0.27699573787648807
1780506457612776000,0.10977587890625,-2.4045612730110246,0.09248635526430302,-0.921000419103071,0.09526512462843315,0.3625263619194884,-0.10853193366178274,0.27025106412794797
1780506457622769000,0.119768798828125,-2.3988022401803755,0.10232907289000387,-0.9192674368321992,0.11835552947147492,0.36638281725852495,-0.1011917374202953,0.26408672707894115
1780506457632761900,0.129761962890625,-2.3957270646358237,0.1110840652202909,-0.9179145328221525,0.13865212999964427,0.3687686683858778,-0.09540994460398539,0.2600045977157518
1780506457642753800,0.13975390625,-2.3955775867290683,0.11832012516117903,-0.9170443638793705,0.15486791297855304,0.3695839367300741,-0.09185639713156739,0.2588108811369039
1780506457652747000,0.1497470703125,-2.3981553226166694,0.1241246138555875,-0.9166484798167467,0.16712741899671466,0.36898485968285866,-0.09054683994056091,0.26053698613445775
1780506457662740000,0.159739990234375,-2.40325713965153,0.12770930941559822,-0.9168458810584434,0.17388015265166512,0.36701921824834827,-0.09154771502585003,0.2646938913212312
1780506457672732000,0.16973193359375,-2.4109083426390976,0.12827547326684144,-0.917809735602427,0.17375487411741042,0.36359682402094806,-0.09469923654067812,0.2703957953870118
1780506457682724900,0.179724853515625,-2.420406323907852,0.1256669260668957,-0.9194271567030593,0.1664296446599179,0.35898677794933076,-0.09995026907940621,0.2775700446784436
1780506457692718000,0.189718017578125,-2.4316570252809995,0.12131881196584345,-0.9214699510366677,0.15526438570706122,0.35333719208434244,-0.10643198077024303,0.28575367143723013
1780506457702710000,0.1997099609375,-2.4457486797002104,0.11845391478684553,-0.9237296426684716,0.14783613166670936,0.3465143856875329,-0.11233895314971823,0.29384402120943814
1780506457712703000,0.209702880859375,-2.462827086762627,0.11788424460499679,-0.9261356267324986,0.14607133179806406,0.3385854532806506,-0.11720089305175599,0.3014609879466696
1780506457722696200,0.2196962890625,-2.4816407336130175,0.11824487173915385,-0.9286427885833839,0.14688327952069033,0.32997555414239105,-0.12147780575670053,0.30852625699265784
1780506457732689000,0.22968896484375,-2.501294193162722,0.11909698335104395,-0.9311499489618699,0.14919383920878568,0.3210447558449186,-0.12532393987428447,0.3150475532328454
