time,seconds_elapsed,z,y,x
1779037475620036600,0.17303662109375,8.883354187011719,4.2454657554626465,0.7914260625839233
1779037475636368000,0.189367919921875,10.212567329406738,4.139583110809326,1.6151553392410278
1779037475652699000,0.205698974609375,11.324631690979004,2.895315408706665,2.5920250415802
1779037475669030100,0.222030029296875,10.623534202575684,2.3820550441741943,2.14516544342041
1779037475685358600,0.238358642578125,9.08973503112793,1.9746768474578857,2.0368902683258057
1779037475701699600,0.254699462890625,7.211967468261719,2.2785654067993164,1.195214867591858
1779037475718027800,0.27102783203125,5.927619934082031,3.087339401245117,0.43609192967414856
1779037475734360600,0.287360595703125,6.218348026275635,4.350151538848877,0.03469592705368996
1779037475750689300,0.303689208984375,7.883752346038818,5.529214859008789,-0.5491527915000916
1779037475767025400,0.320025390625,9.001200675964355,5.708676815032959,-0.7704889178276062
1779037475783354600,0.336354736328125,8.630910873413086,4.79102897644043,-0.6460621356964111
1779037475799671800,0.352671875,8.108677864074707,3.7597224712371826,-0.6239284873008728
1779037475816018400,0.369018310546875,6.802196502685547,3.7956149578094482,-1.893320918083191
1779037475832359000,0.38535888671875,6.165107727050781,4.439284324645996,-2.341377019882202
1779037475848684800,0.401684814453125,6.032305717468262,4.431507587432861,-1.231107234954834
1779037475865016800,0.418016845703125,8.244470596313477,4.174877166748047,-0.4492524564266205
1779037475881347600,0.43434765625,8.402995109558105,4.371088981628418,-0.649053156375885
1779037475897681000,0.450680908203125,8.616554260253906,4.374678134918213,-0.4654040038585663
1779037475914013000,0.467012939453125,8.798408508300781,4.692325115203857,-1.301695466041565
1779037475930358000,0.48335791015625,8.539983749389648,4.182055950164795,-1.5780665874481201
1779037475946660000,0.49966015625,9.924830436706543,4.753940582275391,-2.0548365116119385
1779037475962996200,0.515996337890625,11.070992469787598,4.223331928253174,-1.430309772491455
1779037475979326500,0.532326416015625,12.191431045532227,3.284747362136841,-0.42831525206565857
1779037475995660000,0.548659912109375,12.651451110839844,3.5886356830596924,-0.20338992774486542
1779037476011992000,0.564991943359375,10.958529472351074,4.158127784729004,-0.46839502453804016
1779037476028326000,0.581325927734375,9.493523597717285,4.589433670043945,-1.0857433080673218
1779037476044674800,0.5976748046875,9.279964447021484,4.118646144866943,-1.7018951177597046
1779037476061000000,0.614,9.721440315246582,2.840280532836914,-1.5391831398010254
1779037476077332700,0.630332763671875,11.35214900970459,1.954936146736145,-1.1850453615188599
1779037476093667300,0.646667236328125,11.46401309967041,0.6263213157653809,0.2111666053533554
1779037476109981200,0.662981201171875,9.606584548950195,-0.7088736891746521,2.1774685382843018
1779037476126316800,0.67931689453125,6.890730857849121,0.24167509377002716,1.4608181715011597
1779037476142648000,0.69564794921875,3.9074792861938477,3.421138286590576,-0.5545366406440735
1779037476158982000,0.71198193359375,6.059823513031006,6.15134859085083,-2.2995026111602783
1779037476175311600,0.7283115234375,11.076375961303711,3.401397466659546,0.009571290574967861
1779037476191647200,0.744647216796875,14.653645515441895,0.08733802288770676,1.7270197868347168
1779037476207992800,0.760992919921875,14.946168899536133,-0.841675341129303,1.9040886163711548
1779037476224322300,0.777322265625,13.450654029846191,-0.4893322288990021,2.1242282390594482
1779037476240656000,0.79365576171875,12.500703811645508,1.534995675086975,0.8482556343078613
1779037476256987100,0.809987060546875,10.251450538635254,3.4127633571624756,-0.02512463741004467
1779037476273320400,0.826320556640625,9.68913745880127,1.9094724655151367,1.0737791061401367
1779037476289652500,0.842652587890625,10.564311981201172,1.3962119817733765,0.9589236974716187
1779037476305985000,0.858985107421875,10.2747802734375,1.0815558433532715,0.8267202377319336
1779037476322314500,0.875314453125,8.796614646911621,1.2915260791778564,0.7058826684951782
1779037476338647800,0.891647705078125,7.33340311050415,1.8741782903671265,0.44805604219436646
1779037476354981000,0.907981201171875,5.969494342803955,2.2127628326416016,0.31465616822242737
1779037476371314200,0.924314208984375,5.968297958374023,2.0404794216156006,0.5054838061332703
1779037476387649500,0.9406494140625,6.369095802307129,1.4841482639312744,0.7034898400306702
1779037476403972900,0.956972900390625,6.608976364135742,0.8536394834518433,1.9202401638031006
1779037476420310000,0.97331005859375,6.399005889892578,1.6582261323928833,1.6145570278167725
1779037476436610600,0.989610595703125,5.469992637634277,1.0546365976333618,1.098305583000183
1779037476452958700,1.005958740234375,3.22552490234375,1.3369896411895752,1.3603196144104004
1779037476469291500,1.02229150390625,4.838287353515625,1.8233308792114258,0.5018945336341858
1779037476485624300,1.038624267578125,6.0777692794799805,3.009572744369507,0.8105686902999878
1779037476501954300,1.054954345703125,7.606184959411621,1.576271891593933,2.2360928058624268
1779037476518288000,1.071287841796875,8.669196128845215,1.3609179258346558,3.0000014305114746
1779037476534625300,1.087625244140625,11.656037330627441,1.4362918138504028,3.9846479892730713
1779037476550963000,1.103962890625,15.808182716369629,1.882553219795227,4.681557655334473
1779037476567297300,1.12029736328125,17.435302734375,1.4817553758621216,4.721039295196533
1779037476583628800,1.13662890625,15.815959930419922,1.409970760345459,4.503292083740234
1779037476599945500,1.152945556640625,14.884552955627441,2.6015963554382324,4.83051061630249
1779037476616284700,1.16928466796875,15.19741439819336,3.407379388809204,5.447858810424805
