acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_energy,acc_x_iqr,acc_x_zcr,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_energy,acc_y_iqr,acc_y_zcr,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_energy,acc_z_iqr,acc_z_zcr,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_energy,gyro_x_iqr,gyro_x_zcr,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_energy,gyro_y_iqr,gyro_y_zcr,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_energy,gyro_z_iqr,gyro_z_zcr,orie_roll_mean,orie_roll_std,orie_roll_min,orie_roll_max,orie_roll_range,orie_roll_energy,orie_roll_iqr,orie_roll_zcr,orie_pitch_mean,orie_pitch_std,orie_pitch_min,orie_pitch_max,orie_pitch_range,orie_pitch_energy,orie_pitch_iqr,orie_pitch_zcr,orie_yaw_mean,orie_yaw_std,orie_yaw_min,orie_yaw_max,orie_yaw_range,orie_yaw_energy,orie_yaw_iqr,orie_yaw_zcr,acc_mag_mean,acc_mag_std,acc_mag_energy,acc_mag_dom_freq,gyro_mag_mean,gyro_mag_std,gyro_mag_energy,orie_pitch_delta,orie_roll_delta
-0.16371454931371293,-0.7979894728589636,0.7662142275645675,-0.7357869949297564,-0.7973594603074189,-0.6890568954745165,-0.7584639809009367,-0.08753489619381039,0.03251581506884903,-0.8382179406910245,0.7899874054584791,-0.8436988268100496,-0.9216695938856274,-0.637880933170504,-0.7022905965562294,-0.9297027858151431,0.2734705190576429,-0.5953899513627714,0.46317412436290206,-0.6834685502954773,-0.627409070668522,-0.7193649785304411,-0.5058506683966874,-1.163994900850654,-0.20804567668026303,-0.6140743896870164,0.2940263668093235,-0.2105426187323736,-0.25898149735936193,-0.8046731761004787,-0.7084418467941768,0.397009406157326,-0.6390165323254027,-0.15923670230022893,-1.0988282792667874,-0.2768671665289793,0.3615568145493629,-0.5018767963789218,-0.8127258895117577,0.2757347028736285,0.09386528842086574,-0.16782101589673812,0.3356774687636302,0.0712369856172697,-0.14436282140146195,-0.38994203981901804,-0.2763120586321623,-1.127940824778718,0.09194643903401711,-0.7584213221693396,0.6938264407645214,-0.32838129575729863,-0.7417658453361207,-1.6733204159522301,-0.6805068054190431,1.218030982903249,0.41720298675251644,-0.6330058930939572,0.5618467454473032,0.3544355654267606,-0.5911095664505898,-1.0653612591895456,-0.7353203577827818,-0.10929899839805311,1.2256105871935463,-0.7952889531107851,1.3229586645116012,0.6413414324105373,-0.7718000195201675,1.1830022650021477,-0.6731215668204612,-0.646474694526985,-0.7526000445640899,-0.7868131014678078,-0.7452248229762891,-0.47107133874045803,-0.5200042003388845,0.061489271883048535,-0.6681538432828401,-0.5911095664505898,-0.7417658453361207
-0.10543941066096776,-0.544887028753137,0.35601167487235974,-0.5179041228658844,-0.46793436269096095,-0.6130401555102936,-0.42114582734374356,0.3012966218271627,0.17298802361043283,-0.7307745633953746,0.673679086109686,-0.7780848857470266,-0.8143017486741797,-0.6185941176476868,-0.6029901641167241,-0.17988604364698454,-0.47332022157559717,-0.4036563019826411,0.23859044315665137,-0.6834685502954773,-0.5164678516928938,-0.6250992283223602,-0.3358857561360412,-0.2706193171747095,0.831689129775877,-0.4725378119993789,0.2940263668093235,-0.2105426187323736,-0.25898149735936193,-0.7213418141562308,-0.5198366194203672,0.5170872719751214,-1.2546174435790407,-0.08285287938438714,-1.0988282792667874,-0.2768671665289793,0.3615568145493629,-0.41385135728910577,-0.6310472305616929,-0.13690164590702453,-0.5786966275110021,0.004689011177910657,-0.021826147470384725,0.0712369856172697,0.047283731081930756,-0.2849988198512119,0.11937972352307177,-1.127940824778718,-0.006251279537836869,-0.6218337937956157,0.46932351009167844,-0.32838129575729863,-0.5917331843933241,-1.6517912428981791,-0.5615880320889176,0.2056058606462329,0.4386612262148259,-0.3422681944596334,0.5625566053649651,0.4857572963419647,-0.12175550650409607,-1.0325174529812682,-0.5300229151552215,-0.10929899839805311,1.1772629305227456,-0.7405847608562348,1.243900893092852,0.631255753420904,-0.7061586695923451,1.039107163008205,-0.652180230344964,-0.646474694526985,-0.5781494654316158,-0.631993076027725,-0.6866905790789795,-0.2776326675459024,-0.32044656375760017,0.045285486082077324,-0.5684167911682331,-0.12175550650409607,-0.5917331843933241
-1.9214405323731556,-0.19031736493876292,-0.18325182110199395,-0.36100500171830224,-0.10657494687885997,-0.4103419002813092,-0.17549497731076993,1.467791175890082,0.4085518086273457,-0.39020570186465775,0.2649437194079122,-0.41889010331836973,-0.3748156286292263,-0.5118447621070924,-0.41916178835005435,-0.05491658661895795,0.6622279537176309,-0.11716375294455705,0.23859044315665137,0.03485406924327871,-0.09753303162832504,-0.43687448989651556,-0.3486802095438121,-0.07209140969116634,3.250542104846187,-0.012425929352685878,0.2125736971314034,0.43407519652536236,0.12424279151421788,-0.26694480815419785,-0.21233806447389833,-0.20337992293165,-2.700705343937283,-0.10241504315990597,-0.6614336582774724,-0.6983940096845673,-0.08658677877375581,-0.29667807328015944,-0.3646230851681468,-0.6870834442812287,4.167934244734174,1.5616041347450744,-0.5655479091965454,2.3174648911144526,1.460763864743386,1.5594379192278929,0.10555136224844888,-1.277306720740011,-0.43804010510142016,0.020101706085451688,-0.2983112095620303,-0.454377067972936,-0.18543151882969922,-1.1458967972488663,0.3192141297242679,-0.4693442208584446,0.19663976368199027,3.9624769303210745,-0.546270951599993,0.488052407680021,3.5656561290785205,-1.02297254771076,4.3532781095615185,3.8033077651754295,0.04294019498868304,2.6564935893411334,-1.4404793301048187,1.1103697296256196,2.0905561350401847,0.9985793165360839,3.377544629494851,-0.22418827765946506,-0.31614207007304673,-0.09745882453872746,-0.5203447640960127,-0.6645100099350137,0.2649129624714533,1.0538369669246765,0.14404446151634304,3.5656561290785205,-0.18543151882969922
-2.176967272658922,0.11871494745265089,-0.3710890767575717,-0.24111182957449534,0.055412727346517685,-0.1879617209975232,0.21114827440658165,0.042075609813180356,0.41067098610731556,-0.34433018527199355,0.2649437194079122,-0.29039628509517695,-0.31270285397708025,-0.4924166428351741,-0.436673304670559,-0.3048555006750107,0.8433531878104132,-0.15322264830082066,0.26935952030194565,0.03485406924327871,-0.11273252834562736,-0.46211961706556054,-0.3049432031932866,-0.2706193171747095,2.1707318770516895,0.2757860108210846,0.041247018006191224,0.43407519652536236,0.20997207733492085,-0.034086920585573555,0.20976455218442688,-1.0439249836562166,-2.4891249708146472,-0.04867176510561702,-0.6614336582774724,-0.6983940096845673,-0.08658677877375581,-0.27699355385430613,-0.24715452735937016,0.13818925328007733,3.9518955770211366,1.6311968115903863,-0.5655479091965454,2.3174648911144526,1.460763864743386,1.642513800511151,0.635366990512652,-1.4266726167013044,-0.9293458506310673,-0.3234517447632116,-0.4422037466053963,-0.667161276405451,-0.26946621611066374,-0.33622052494748106,-0.5111558349990902,-0.4693442208584446,-0.09266612663651604,3.123744957124774,-0.546270951599993,0.488052407680021,3.5656561290785205,-1.2028316126041512,2.0631328886450593,11.628521292322393,-1.6259513200222764,1.9370609084215005,-1.4404793301048187,1.1103697296256196,2.0905561350401847,1.192540275640772,-0.42798463295165823,-0.22418827765946506,-0.18873830315817455,-0.1622333534815742,-0.468293795451404,-0.6645100099350137,0.4400850693745261,0.9551376175376767,0.2793394637428867,3.5656561290785205,-0.26946621611066374
-0.359879738909168,0.2006830939569206,-0.3710890767575717,-0.24111182957449534,0.055412727346517685,-0.15983965737420036,0.6207007462514325,-1.3836399562637207,0.23163065102438782,-0.5962075459072232,0.5408847039741781,-0.29039628509517695,-0.4921836861363191,-0.5850855045052488,-0.5783811508443911,-0.9297027858151431,0.10353175449471332,-0.3621436761123323,0.42231213123022077,-0.5512313142809265,-0.5301013881957086,-0.6023721917831403,-0.2644255531431058,-0.7669390858835675,0.10888971367297143,-0.045351014652807976,0.041247018006191224,0.0947241871473248,0.029684806025130198,-0.4092994064559244,-0.20527879315872138,-1.4041585811096022,-0.6142867551986521,-0.5089004520733942,-0.1183590764169229,-0.5046359800492914,-0.23271232534386999,-0.736557958100796,-0.632001233249327,0.13818925328007733,-0.41573420774105563,0.002578822619022487,-0.05889582718857692,-0.17795671974746552,-0.05731850959693181,-0.28912265315720664,-0.19908641625976034,-0.8292090328561311,-1.0700668119199668,-0.7262978160962104,-0.4422037466053963,-1.2014816213802986,-0.7219555908720545,-0.026453482718056785,-0.6633898431861817,-0.4693442208584446,-0.2367691990363744,0.8283025632863964,-0.295656487330689,-0.041967844343863824,0.8302598892702481,-1.3159636242815411,0.416452493738069,7.715914528748911,-2.077692905192418,-0.5672807486942586,-1.1892727506649479,-2.4016702999115256,-0.567760230321346,0.9603952675099068,-0.454421550738301,-0.646474694526985,-0.2736725332699956,-0.56195305862873,-0.5597408346965124,1.076438030815987,-0.24323135535295518,-0.1378135191373567,-0.5566331764224829,0.8302598892702481,-0.7219555908720545
-0.13377809226204979,0.07151410530686436,0.1421128145004855,-0.34576952498502606,-0.26375945088013847,-0.26331456548047816,0.3357223623487831,-1.3836399562637207,0.07216536059681525,-0.6557001611858722,0.6584436960593884,-0.6187479792588878,-0.7273701136628093,-0.6019071298180824,-0.6483610854150624,-0.5547944147310637,0.4753058333616756,-0.32968281812787237,0.42231213123022077,-0.39020909813603993,-0.43619119894067493,-0.5819573953762891,-0.3024481799853042,-1.2632588545924257,0.24571513037188059,-0.3818863183206626,0.5418249391135217,0.0947241871473248,-0.22079683462337815,-0.6710267467311322,-0.4451957196420422,-1.1640028494740116,0.058243461615041285,-0.6496412858587624,0.4827614705766505,-0.5046359800492914,-0.5171606104576887,-0.8123736654874841,-0.7226394061960452,-0.6870834442812287,0.3185246523731023,-0.43229030821038883,0.048420600075046755,-0.4990444964163136,-0.2752332772011152,-0.507048881792124,-0.48819791002703433,-0.381111344972251,-1.060809188599772,-0.7934406499276423,-0.4209700752371064,-1.2656622041753738,-0.7904971524693677,-0.055800228903170504,-0.7087144649552128,-0.4693442208584446,-0.36581953574267273,-0.5919657999671033,-0.295656487330689,-0.4067546542210794,-0.4800592414997507,-1.271346691414011,-0.727655883386989,-0.10929899839805311,-1.950841851057863,-0.7459323406715644,-0.9780156686390209,-2.371615920824256,-0.741020891862323,0.5885038800816679,-0.6002546178861449,-0.646474694526985,-0.3351206282103031,-0.5354346852947415,-0.5854738714714212,0.8829993596214315,-0.5504128910303003,-0.40997327652278354,-0.7612237282131032,-0.4800592414997507,-0.7904971524693677
0.1217876030334062,-0.05082238440933722,0.17612726721075214,-0.3859888007861699,-0.303339348245726,-0.3508921335820105,0.11962867687378524,-1.5132504622707117,-0.1298889022342292,-0.6116475035832439,0.5873494991206633,-0.6151691333834531,-0.6793981942215028,-0.590539698379499,-0.5162824296922127,-0.5547944147310637,-0.6483366574860768,-0.39573856377674754,0.387541717706478,-0.39020909813603993,-0.4190150976322807,-0.6197864419873131,-0.32306181406604606,-1.2632588545924257,-0.5240288982072547,-0.580385966641993,0.5418249391135217,-0.643517304185655,-0.6130029585539681,-0.7849599990795076,-0.5033260994110654,-0.8037692520206262,0.21064515944676124,-0.7240071987730287,0.6243243968219229,-0.8668768070612357,-0.7913980574999578,-0.8420270125850247,-0.7705795675367245,-0.5495379946876775,0.2633319706316797,-0.722879505865801,0.6788895472485751,-0.7064598901045555,-0.7168135992541868,-0.5907715327357919,-0.6197937266825092,-0.5304772409335443,-1.043059232156738,-0.7764806716226985,-0.40221233708756227,-1.2311627032168966,-0.7738168129650287,-0.10496138621015094,-0.6993425613071332,-0.4693442208584446,-0.3833629052089493,-0.794335757436087,-0.2786154231348487,-0.48203459326125886,-0.8070092413402962,-1.2585053639600376,-0.8002175023820258,-0.10929899839805311,-1.9684392751183473,-0.7271329376440507,-1.0195616734717374,-2.371615920824256,-0.7028618323740532,0.6373234245753794,-0.6021414153650809,-0.646474694526985,-0.38221187461544626,-0.5902204386984778,-0.6109739496436143,1.076438030815987,-0.6818998336713332,-0.6933291624138495,-0.8461722968388653,-0.8070092413402962,-0.7738168129650287
0.010033076710764104,-0.011983215092934733,-0.002899268131142121,-0.41895612742365285,-0.23046117451747314,-0.32427192087157447,0.20804682155404444,-1.3836399562637207,0.008715386474582002,-0.61403049792058,0.5873494991206633,-0.6151691333834531,-0.6793981942215028,-0.5911140795418756,-0.47768820549868607,-1.179641699871196,-0.8256132271515847,-0.3495844797011894,0.387541717706478,-0.43359920634989324,-0.44432075651411407,-0.5920046212129558,-0.21717984134226295,-1.2632588545924257,0.03397126974381046,-0.5834136874701439,0.6487575265361056,-0.40881142036993295,-0.5418180371483863,-0.7898221512674736,-0.4993997097415506,-0.8037692520206262,0.1728101315271174,-0.714210325192979,0.5754852549482661,-0.8812707333888703,-0.7765227907821479,-0.8386591967420056,-0.8175710420612179,-1.2372652426554327,-0.20219215572307145,-0.6985788831489855,0.650172810106179,-0.8359148541666546,-0.7660831850157607,-0.5839939487829909,-0.5727273791322207,-0.5304772409335443,-1.029695095884831,-0.7659269176404931,-0.39682054782271736,-1.2267750183089436,-0.7737043696142336,-0.1414644501136427,-0.6697185596956505,-0.4693442208584446,-0.3754787687158968,-0.6716406069553372,-0.2786154231348487,-0.43773854576473376,-0.6478972425491945,-1.2642231589655655,-0.6525926205657135,-0.10929899839805311,-1.969359317532708,-0.7476521392423316,-1.0195616734717374,-2.403128864997485,-0.7246441785329772,0.6386651943053233,-0.6233931122992059,-0.646474694526985,-0.3462703779401748,-0.5982626107235381,-0.5962837726294395,-0.2776326675459024,-0.6820199731484936,-0.6841558443152939,-0.8453636009506585,-0.6478972425491945,-0.7737043696142336
-0.34788285790140155,0.09854318783248898,-0.002899268131142121,-0.3866417792105958,-0.2125717304118071,-0.24205962848477464,0.4671772044676047,-1.3836399562637207,0.016930404359782537,-0.629526505455973,0.6478166543309495,-0.6307293951949918,-0.7262496566452503,-0.5952971884307241,-0.475956587659387,-1.3046111568992225,-0.4969982465884141,-0.19967798697511352,0.29128667424080373,-0.43359920634989324,-0.3967721020558811,-0.49768259088843864,-0.12050150702077657,-0.7669390858835675,0.30931416168209197,-0.5681150399176356,0.6712999821052483,-0.40881142036993295,-0.5530979418687431,-0.7810038974062853,-0.6203146448230425,-0.5636135203850356,0.07189957030654634,-0.5107449603609195,0.4942499009680673,-0.2834683172903773,-0.39605933549960676,-0.7431533491781575,-0.6924176499482946,-1.6499015914360857,-0.19535707934211624,-0.6697165601304517,0.650172810106179,-0.7981185291826957,-0.7472036347144225,-0.5774939722066297,-0.5333390144821373,-0.9785749288174244,-1.0014741791442783,-0.7260290426588865,-0.39682054782271736,-1.1587849644451322,-0.7161269682441294,-0.21588190368280233,-0.6696379573685525,-0.4693442208584446,-0.31650991262942296,-0.4931442329800463,-0.2529890874923951,-0.3677373135329382,-0.4814818523338682,-1.3065017603561935,-0.5422662022983946,-0.10929899839805311,-1.9469734737555446,-0.775226768621824,-0.99880292302684,-2.403128864997485,-0.7437106181658248,0.5766481131361942,-0.635798807637855,-0.646474694526985,-0.2553911417920753,-0.5465877747816036,-0.5494733683769548,-0.2776326675459024,-0.6128035123941964,-0.5177386570548678,-0.8011544201401504,-0.4814818523338682,-0.7161269682441294
-0.4329871213754518,0.12929738106039457,0.15205976615953679,-0.3175651673477147,-0.25320857989318474,-0.21753460428481153,0.6348634265234221,-1.6428609682777027,0.20291612174459545,-0.6065167961354238,0.6478166543309495,-0.45512900597809863,-0.6413659824336817,-0.588198591505505,-0.4812165139538966,-1.0546722428431696,-0.9650925553685145,-0.15410256989530485,0.29128667424080373,-0.39241595227466575,-0.3727535083677729,-0.46217006959801216,-0.11888191954962979,-0.8662030396253393,0.04519733375363528,-0.48604677950944275,0.6490707401304394,-0.38848650836781656,-0.5311767329011937,-0.7362923222274977,-0.42830065015550306,-0.8037692520206262,-0.7522135894658013,-0.3944601051129649,0.1797382533252637,-0.2834683172903773,-0.24723344813350165,-0.6654257919717779,-0.5714175122944809,-1.6499015914360857,-0.004083334671122865,-0.6606190970394324,0.6270751306212089,-0.7565033572171346,-0.7140345949689646,-0.5766458929336932,-0.5930002157191542,-0.9785749288174244,-1.048696228297843,-0.6355981077894669,-0.5303995690695366,-1.1587849644451322,-0.6268576836796453,-0.07891593004190332,-0.5812823593387167,-0.4693442208584446,-0.2889958832488278,-0.6487263128830916,-0.1739929867490129,-0.3638044486879982,-0.7294695489098985,-1.325557803785718,-0.557250046316147,-0.10929899839805311,-1.9162278503845331,-0.746589134559127,-0.9547338178902472,-2.327480642474881,-0.7318975981502184,0.4962012183468791,-0.6352984798621698,-0.646474694526985,-0.22164826567306656,-0.5030659745511039,-0.5284299464609064,-0.2776326675459024,-0.5210233113672803,-0.4177789862925955,-0.7490638166197485,-0.7294695489098985,-0.6268576836796453
